snapshot_date,occupied_km2,wkt
2022-05-31,16119,"MULTIPOLYGON (((36.5814 45.25, 36.574 45.2458, 36.5467 45.2602, 36.5333 45.2798, 36.5131 45.2895, 36.529 45.2915, 36.5814 45.25)), ((37.8095 48.1524, 37.8078 48.1849, 37.829 48.2042, 37.8228 48.2307, 37.8125 48.238, 37.7562 48.2385, 37.7497 48.2609, 37.8004 48.2723, 37.7995 48.278, 37.8356 48.295, 37.8902 48.2992, 37.8966 48.2154, 37.8833 48.1997, 37.8286 48.1752, 37.8199 48.1439, 37.8095 48.1524)), ((38.3892 48.4323, 38.391 48.4159, 38.3218 48.3711, 38.2591 48.3598, 38.1309 48.3879, 38.1951 48.4203, 38.2182 48.4618, 38.2121 48.4712, 38.2719 48.4678, 38.29 48.4958, 38.2832 48.5022, 38.3292 48.5249, 38.2018 48.548, 38.1697 48.5849, 38.1834 48.6588, 38.1788 48.6673, 38.1985 48.6749, 38.2787 48.6784, 38.2894 48.7027, 38.2404 48.7274, 38.2592 48.7341, 38.3614 48.7034, 38.3565 48.6936, 38.3637 48.681, 38.4108 48.6815, 38.4452 48.655, 38.4198 48.645, 38.4047 48.6169, 38.4026 48.5479, 38.4116 48.5106, 38.3892 48.4323)), ((37.2289 49.0942, 37.2539 49.032, 37.25 49.023, 37.2204 49.0174, 37.1786 49.0242, 37.1664 49.0354, 37.1486 49.0829, 37.1596 49.1022, 37.1079 49.1188, 37.0393 49.1156, 36.9846 49.1229, 37.0328 49.1295, 37.0472 49.1478, 37.0298 49.1562, 37.0425 49.1653, 37.1257 49.1431, 37.2161 49.1312, 37.2301 49.1158, 37.2289 49.0942)), ((38.3345 49.0327, 38.3037 49.0451, 38.2675 49.0401, 38.2281 49.0638, 38.1785 49.1332, 38.184 49.2022, 38.2252 49.2156, 38.2341 49.3692, 38.144 49.3885, 38.1083 49.4439, 38.1687 49.5545, 38.133 49.5972, 38.188 49.7394, 38.177 49.8423, 38.2552 49.9095, 38.2164 49.9872, 38.1854 50.0221, 38.1785 50.0798, 38.2771 50.073, 38.3003 50.0867, 38.3291 50.0852, 38.334 50.0591, 38.3512 50.0347, 38.3496 50.0064, 38.416 49.9813, 38.4341 50.001, 38.468 49.9952, 38.4659 49.984, 38.4775 49.9833, 38.4877 49.9636, 38.5267 49.9583, 38.5816 49.9774, 38.6161 49.9744, 38.6462 49.9559, 38.6797 49.9745, 38.6761 49.9928, 38.6843 50.0075, 38.7151 49.9877, 38.6853 49.9603, 38.6929 49.9348, 38.7232 49.927, 38.7438 49.8973, 38.7682 49.896, 38.7901 49.8785, 38.8244 49.8789, 38.8433 49.8651, 38.8985 49.8704, 38.9195 49.8586, 38.9043 49.8488, 38.9143 49.837, 38.9074 49.8284, 38.9308 49.7972, 38.9488 49.7961, 39.0217 49.8209, 39.0662 49.8153, 39.1111 49.839, 39.1285 49.8598, 39.1784 49.888, 39.1884 49.8862, 39.2257 49.8402, 39.229 49.8084, 39.2404 49.7911, 39.2856 49.7557, 39.377 49.7384, 39.4382 49.76, 39.6084 49.7339, 39.592 49.7196, 39.6384 49.6351, 39.66 49.6148, 39.7502 49.5967, 39.8081 49.558, 39.8389 49.5635, 39.8902 49.5584, 39.9346 49.5728, 39.9522 49.5965, 40.0567 49.6066, 40.0635 49.5992, 40.1353 49.6163, 40.1395 49.5963, 40.1684 49.5689, 40.0376 49.5199, 40.0418 49.4991, 40.0294 49.4538, 40.1124 49.3857, 40.1446 49.3777, 40.1968 49.3452, 40.1859 49.284, 40.2193 49.2652, 40.2144 49.2449, 40.1768 49.2369, 40.1365 49.2392, 40.0761 49.1868, 40.0316 49.1802, 39.9387 49.0833, 39.9377 49.056, 39.8752 49.0655, 39.8031 49.0592, 39.7681 49.0403, 39.6929 49.0495, 39.6732 49.0392, 39.6836 49.0369, 39.6757 49.0269, 39.6792 49.0129, 39.6634 49.0009, 39.6769 48.9895, 39.7 49.0005, 39.727 48.9753, 39.7478 48.9879, 39.7887 48.9475, 39.7695 48.9303, 39.7942 48.9249, 39.8189 48.9078, 39.8244 48.8906, 39.8409 48.9024, 39.8711 48.8942, 39.9247 48.8942, 39.9837 48.8681, 40.0312 48.9158, 40.0555 48.9101, 40.0788 48.8699, 39.9762 48.7937, 39.7971 48.8406, 39.7843 48.7973, 39.7652 48.765, 39.7414 48.7718, 39.7389 48.7484, 39.7048 48.7215, 39.711 48.7134, 39.7028 48.7066, 39.7199 48.6979, 39.7222 48.684, 39.703 48.6704, 39.711 48.6666, 39.7107 48.655, 39.6936 48.6492, 39.694 48.6369, 39.6606 48.609, 39.688 48.5869, 39.6304 48.5808, 39.6174 48.5862, 39.6025 48.5745, 39.5943 48.5763, 39.605 48.5866, 39.6011 48.5913, 39.5681 48.5818, 39.5613 48.5847, 39.5657 48.5938, 39.5546 48.5994, 39.5415 48.5841, 39.5312 48.5841, 39.5252 48.5884, 39.5314 48.5969, 39.5225 48.6025, 39.527 48.6094, 39.5117 48.6217, 39.5128 48.6344, 39.4631 48.6289, 39.4657 48.6379, 39.4497 48.6427, 39.4507 48.6554, 39.4107 48.6575, 39.4111 48.6697, 39.3525 48.7007, 39.3454 48.7118, 39.3722 48.7169, 39.3535 48.7261, 39.3575 48.7359, 39.3421 48.7551, 39.3531 48.7666, 39.3259 48.7685, 39.3193 48.7768, 39.3043 48.7736, 39.2855 48.7518, 39.269 48.7546, 39.2658 48.7431, 39.2524 48.7427, 39.2463 48.7137, 39.206 48.6994, 39.1924 48.7071, 39.176 48.685, 39.1419 48.6734, 39.1372 48.6604, 39.104 48.6517, 39.0445 48.6474, 39.0123 48.6586, 39.0253 48.6667, 39.0122 48.6833, 39.0137 48.6959, 39.0018 48.6972, 38.9956 48.7123, 38.9838 48.7109, 38.9978 48.7196, 38.9799 48.7435, 38.9595 48.747, 38.9572 48.7393, 38.9318 48.7363, 38.9331 48.7481, 38.8728 48.7531, 38.8471 48.7427, 38.8301 48.7169, 38.8084 48.7132, 38.6917 48.7292, 38.5832 48.7197, 38.5722 48.6889, 38.5594 48.6865, 38.5334 48.7243, 38.6035 48.869, 38.5876 48.8891, 38.5553 48.909, 38.5278 48.9112, 38.5363 48.9373, 38.5575 48.9366, 38.561 48.9443, 38.5114 48.9544, 38.5035 48.9636, 38.4223 48.969, 38.4241 48.9814, 38.4443 49.0031, 38.4242 49.0156, 38.42 49.0292, 38.3553 49.054, 38.3345 49.0327)), ((36.648 50.2178, 36.664 50.2223, 36.6797 50.1886, 36.6039 50.1882, 36.5952 50.2299, 36.648 50.2178)))"
2022-06-30,16636,"MULTIPOLYGON (((36.5769 45.2489, 36.5491 45.2613, 36.5071 45.2956, 36.5471 45.2797, 36.5769 45.2489)), ((37.8199 48.1439, 37.8095 48.1524, 37.8078 48.1849, 37.829 48.2042, 37.8228 48.2307, 37.8125 48.238, 37.7562 48.2385, 37.7497 48.2609, 37.8004 48.2723, 37.8083 48.2875, 37.8217 48.2899, 37.8697 48.2819, 37.8902 48.2992, 37.8966 48.2154, 37.8833 48.1997, 37.8286 48.1752, 37.8199 48.1439)), ((38.5832 48.7199, 38.5722 48.6891, 38.549 48.6753, 38.4198 48.645, 38.4047 48.6169, 38.4026 48.5479, 38.4143 48.5206, 38.3892 48.4323, 38.391 48.4159, 38.3218 48.3711, 38.2737 48.3592, 38.1848 48.3749, 38.1501 48.3854, 38.1631 48.4021, 38.1485 48.4145, 38.1175 48.4208, 38.1239 48.4338, 38.1398 48.4346, 38.1718 48.4087, 38.1951 48.4203, 38.2182 48.4618, 38.2121 48.4712, 38.2344 48.4819, 38.1598 48.5084, 38.1805 48.6412, 38.1659 48.658, 38.2206 48.7194, 38.2205 48.7377, 38.2323 48.7451, 38.2777 48.7463, 38.3003 48.825, 38.3209 48.8393, 38.2926 48.8618, 38.322 48.8572, 38.3871 48.8748, 38.4405 48.8418, 38.4944 48.837, 38.5156 48.8546, 38.4901 48.8767, 38.4748 48.9036, 38.4149 48.9385, 38.3671 48.9879, 38.2997 49.0249, 38.2616 49.0244, 38.2675 49.0401, 38.2281 49.0638, 38.1785 49.1332, 38.184 49.2022, 38.2252 49.2156, 38.2341 49.3692, 38.144 49.3885, 38.1083 49.4439, 38.1687 49.5545, 38.133 49.5972, 38.188 49.7394, 38.177 49.8423, 38.2552 49.9095, 38.2164 49.9872, 38.1854 50.0221, 38.1785 50.0798, 38.2771 50.073, 38.3003 50.0867, 38.3291 50.0852, 38.334 50.0591, 38.3512 50.0347, 38.3496 50.0064, 38.416 49.9813, 38.4341 50.001, 38.468 49.9952, 38.4659 49.984, 38.4775 49.9833, 38.4877 49.9636, 38.5267 49.9583, 38.5816 49.9774, 38.6161 49.9744, 38.6462 49.9559, 38.6797 49.9745, 38.6761 49.9928, 38.6843 50.0075, 38.7151 49.9877, 38.6853 49.9603, 38.6929 49.9348, 38.7232 49.927, 38.7438 49.8973, 38.7682 49.896, 38.7901 49.8785, 38.8244 49.8789, 38.8433 49.8651, 38.8985 49.8704, 38.9195 49.8586, 38.9043 49.8488, 38.9143 49.837, 38.9074 49.8284, 38.9308 49.7972, 38.9488 49.7961, 39.0217 49.8209, 39.0662 49.8153, 39.1111 49.839, 39.1285 49.8598, 39.1784 49.888, 39.1884 49.8862, 39.2257 49.8402, 39.229 49.8084, 39.2404 49.7911, 39.2856 49.7557, 39.377 49.7384, 39.4382 49.76, 39.6084 49.7339, 39.592 49.7196, 39.6384 49.6351, 39.66 49.6148, 39.7502 49.5967, 39.8081 49.558, 39.8389 49.5635, 39.8902 49.5584, 39.9346 49.5728, 39.9522 49.5965, 40.0567 49.6066, 40.0635 49.5992, 40.1353 49.6163, 40.1395 49.5963, 40.1684 49.5689, 40.0376 49.5199, 40.0418 49.4991, 40.0294 49.4538, 40.1124 49.3857, 40.1446 49.3777, 40.1968 49.3452, 40.1859 49.284, 40.2193 49.2652, 40.2144 49.2449, 40.1768 49.2369, 40.1365 49.2392, 40.0761 49.1868, 40.0316 49.1802, 39.9387 49.0833, 39.9377 49.056, 39.8752 49.0655, 39.8031 49.0592, 39.7681 49.0403, 39.6929 49.0495, 39.6732 49.0392, 39.6836 49.0369, 39.6757 49.0269, 39.6792 49.0129, 39.6634 49.0009, 39.6769 48.9895, 39.7 49.0005, 39.727 48.9753, 39.7478 48.9879, 39.7887 48.9475, 39.7695 48.9303, 39.7942 48.9249, 39.8189 48.9078, 39.8244 48.8906, 39.8368 48.903, 39.8467 48.9028, 39.8533 48.8911, 39.9247 48.8942, 39.992 48.8687, 40.004 48.9008, 40.0312 48.9158, 40.0555 48.9101, 40.0788 48.8699, 39.9762 48.7937, 39.7971 48.8406, 39.7843 48.7973, 39.7652 48.765, 39.7414 48.7718, 39.7389 48.7484, 39.7048 48.7215, 39.711 48.7134, 39.7028 48.7066, 39.7199 48.6979, 39.7222 48.684, 39.703 48.6704, 39.711 48.6666, 39.7107 48.655, 39.6936 48.6492, 39.694 48.6369, 39.6606 48.609, 39.688 48.5869, 39.6304 48.581, 39.6174 48.5863, 39.6025 48.5745, 39.5943 48.5763, 39.605 48.5866, 39.6011 48.5913, 39.5681 48.5818, 39.5613 48.5847, 39.5657 48.5938, 39.5546 48.5994, 39.5415 48.5841, 39.5312 48.5841, 39.5252 48.5884, 39.5314 48.5969, 39.5225 48.6025, 39.527 48.6094, 39.5117 48.6217, 39.5128 48.6344, 39.4631 48.6289, 39.4657 48.6379, 39.4497 48.6427, 39.4507 48.6554, 39.4107 48.6575, 39.4111 48.6697, 39.3525 48.7007, 39.3454 48.7118, 39.3722 48.7169, 39.3535 48.7261, 39.3575 48.7359, 39.3421 48.7551, 39.3531 48.7666, 39.3259 48.7685, 39.3193 48.7768, 39.3043 48.7736, 39.2855 48.7518, 39.269 48.7546, 39.2658 48.7431, 39.2524 48.7427, 39.2463 48.7137, 39.206 48.6994, 39.1924 48.7071, 39.176 48.685, 39.1419 48.6734, 39.1372 48.6604, 39.0975 48.651, 39.0355 48.6481, 39.0123 48.6586, 39.0253 48.6667, 39.0122 48.6833, 39.0137 48.6959, 39.0018 48.6972, 38.9956 48.7123, 38.9838 48.7109, 38.9978 48.7196, 38.9799 48.7435, 38.9595 48.747, 38.9446 48.7353, 38.9318 48.7363, 38.9331 48.7481, 38.8562 48.7503, 38.8301 48.7169, 38.8084 48.7132, 38.6745 48.7294, 38.6784 48.7237, 38.5832 48.7199), (38.5279 48.8509, 38.5597 48.8301, 38.5304 48.8498, 38.5279 48.8509)))"
2022-07-31,33818,"MULTIPOLYGON (((36.5769 45.2489, 36.5491 45.2613, 36.5071 45.2956, 36.5471 45.2797, 36.5769 45.2489)), ((38.8351 47.8161, 38.7887 47.816, 38.7982 47.7784, 38.7889 47.737, 38.7709 47.7206, 38.7732 47.6858, 38.7303 47.6804, 38.7291 47.6988, 38.6592 47.7001, 38.6656 47.6972, 38.6659 47.6694, 38.6293 47.6693, 38.6296 47.6533, 38.6201 47.6449, 38.4563 47.6443, 38.4567 47.617, 38.3501 47.6167, 38.3507 47.5762, 38.311 47.576, 38.3051 47.5449, 38.2848 47.5445, 38.2849 47.5084, 38.2951 47.5081, 38.2894 47.4768, 38.302 47.4751, 38.3021 47.3929, 38.2864 47.3915, 38.2865 47.3736, 38.2587 47.3734, 38.2456 47.3632, 38.2468 47.3514, 38.2221 47.3329, 38.2272 47.3297, 38.221 47.3054, 38.3363 47.3064, 38.3234 47.2811, 38.3337 47.2689, 38.3245 47.2568, 38.288 47.2565, 38.2882 47.2386, 38.2343 47.231, 38.2428 47.2171, 38.2348 47.2026, 38.2363 47.1395, 38.2301 47.1194, 38.1866 47.0937, 38.1569 47.0641, 38.1226 47.0438, 38.1328 47.064, 38.1229 47.0806, 38.092 47.1053, 38.0615 47.1121, 38.0374 47.0898, 37.9993 47.0995, 37.9759 47.0957, 37.9846 47.086, 37.9715 47.0876, 37.8953 47.1123, 37.8149 47.0895, 37.8181 47.1191, 37.85 47.1742, 37.8514 47.1989, 37.8335 47.2493, 37.8277 47.3026, 37.8349 47.3082, 37.8246 47.3215, 37.8293 47.3425, 37.8612 47.3479, 37.8592 47.3544, 37.8376 47.3524, 37.8516 47.3655, 37.8383 47.378, 37.8568 47.3929, 37.8637 47.4266, 37.8926 47.4698, 37.7823 47.5859, 37.7686 47.6354, 37.8019 47.6424, 37.804 47.6602, 37.6727 47.7247, 37.6376 47.752, 37.6232 47.7731, 37.6345 47.8025, 37.633 47.846, 37.644 47.8866, 37.535 47.918, 37.5428 47.9325, 37.5338 47.9506, 37.5637 47.9943, 37.6478 48.0289, 37.6943 48.0565, 37.6997 48.0722, 37.7463 48.0735, 37.7564 48.0867, 37.8125 48.1043, 37.8199 48.1439, 37.8095 48.1524, 37.8034 48.2068, 37.8228 48.2307, 37.7762 48.2502, 37.8012 48.2583, 37.8048 48.2662, 37.8006 48.2727, 37.7784 48.272, 37.7842 48.2832, 37.8217 48.2899, 37.8697 48.2819, 37.8902 48.2992, 37.9211 48.376, 37.947 48.3752, 37.9569 48.3915, 38.0048 48.394, 38.0421 48.4091, 38.0482 48.438, 38.1025 48.4172, 38.1159 48.4199, 38.1239 48.4338, 38.1398 48.4346, 38.1454 48.4593, 38.2153 48.4796, 38.1875 48.5193, 38.1465 48.5092, 38.1112 48.5178, 38.1277 48.5581, 38.1209 48.5857, 38.1309 48.6149, 38.1104 48.6272, 38.1088 48.6356, 38.1342 48.6748, 38.1822 48.6852, 38.2206 48.7194, 38.2205 48.7377, 38.2323 48.7451, 38.2276 48.7605, 38.2392 48.7894, 38.2292 48.7984, 38.221 48.8401, 38.2273 48.878, 38.178 48.9038, 38.233 48.9418, 38.236 48.9567, 38.2577 48.9693, 38.2399 49.0055, 38.2616 49.0244, 38.2675 49.0401, 38.2281 49.0638, 38.1786 49.1337, 38.184 49.2022, 38.2253 49.2161, 38.2342 49.3697, 38.1441 49.3889, 38.1084 49.4443, 38.1689 49.5549, 38.1332 49.5977, 38.188 49.7394, 38.177 49.8423, 38.2554 49.91, 38.2164 49.9872, 38.1854 50.0221, 38.1785 50.0798, 38.2771 50.073, 38.3003 50.0867, 38.3291 50.0852, 38.334 50.0591, 38.3512 50.0347, 38.3496 50.0064, 38.416 49.9813, 38.4341 50.001, 38.468 49.9952, 38.4659 49.984, 38.4775 49.9833, 38.4877 49.9636, 38.5267 49.9583, 38.5816 49.9774, 38.6161 49.9744, 38.6462 49.9559, 38.6797 49.9745, 38.6761 49.9928, 38.6843 50.0075, 38.7151 49.9877, 38.6853 49.9603, 38.6929 49.9348, 38.7232 49.927, 38.7438 49.8973, 38.7682 49.896, 38.7901 49.8785, 38.8244 49.8789, 38.8433 49.8651, 38.8985 49.8704, 38.9195 49.8586, 38.9043 49.8488, 38.9143 49.837, 38.9074 49.8284, 38.9308 49.7972, 38.9488 49.7961, 39.0217 49.8209, 39.0662 49.8153, 39.1111 49.839, 39.1285 49.8598, 39.1784 49.888, 39.1884 49.8862, 39.2257 49.8402, 39.229 49.8084, 39.2404 49.7911, 39.2856 49.7557, 39.377 49.7384, 39.4382 49.76, 39.6084 49.7339, 39.592 49.7196, 39.6384 49.6351, 39.66 49.6148, 39.7502 49.5967, 39.8081 49.558, 39.8389 49.5635, 39.8902 49.5584, 39.9346 49.5728, 39.9522 49.5965, 40.0567 49.6066, 40.0635 49.5992, 40.1353 49.6163, 40.1395 49.5963, 40.1684 49.5689, 40.0376 49.5199, 40.0418 49.4991, 40.0294 49.4538, 40.1124 49.3857, 40.1446 49.3777, 40.1968 49.3452, 40.1859 49.284, 40.2193 49.2652, 40.2144 49.2449, 40.1768 49.2369, 40.1365 49.2392, 40.0761 49.1868, 40.0316 49.1802, 39.9387 49.0833, 39.9377 49.056, 39.8752 49.0655, 39.8031 49.0592, 39.7681 49.0403, 39.6929 49.0495, 39.6732 49.0392, 39.6836 49.0369, 39.6757 49.0269, 39.6792 49.0129, 39.6634 49.0009, 39.6769 48.9895, 39.7 49.0005, 39.727 48.9753, 39.7478 48.9879, 39.7887 48.9475, 39.7695 48.9303, 39.7942 48.9249, 39.8189 48.9078, 39.8244 48.8906, 39.8368 48.903, 39.8467 48.9028, 39.8533 48.8911, 39.9247 48.8942, 39.992 48.8687, 40.004 48.9008, 40.0312 48.9158, 40.0555 48.9101, 40.0788 48.8699, 39.9762 48.7937, 39.7971 48.8406, 39.7843 48.7973, 39.7652 48.765, 39.7414 48.7718, 39.7389 48.7484, 39.7048 48.7215, 39.711 48.7134, 39.7028 48.7066, 39.7199 48.6979, 39.7222 48.684, 39.703 48.6704, 39.711 48.6666, 39.7108 48.6551, 39.6936 48.6492, 39.694 48.6369, 39.6606 48.609, 39.6873 48.5871, 39.7467 48.5907, 39.7513 48.5821, 39.79 48.5934, 39.8086 48.584, 39.8251 48.5862, 39.8217 48.5783, 39.8468 48.5729, 39.8576 48.5614, 39.8668 48.5089, 39.8465 48.4993, 39.8463 48.4737, 39.8973 48.4481, 39.8888 48.442, 39.9103 48.422, 39.9063 48.4036, 39.9186 48.3976, 39.906 48.3903, 39.9268 48.3751, 39.9415 48.3871, 39.9348 48.3723, 39.9475 48.3552, 39.9186 48.3417, 39.8456 48.3328, 39.8411 48.3101, 39.8872 48.3088, 39.9102 48.293, 39.9082 48.277, 39.9148 48.2697, 39.9347 48.2791, 39.9302 48.2828, 39.952 48.3036, 39.9702 48.2987, 39.9631 48.3026, 39.9725 48.313, 39.9908 48.3171, 39.9997 48.2893, 40.0168 48.2695, 40.0195 48.2525, 40.0031 48.2395, 40.0075 48.2233, 39.9422 48.2307, 39.9409 48.1808, 39.9139 48.178, 39.9103 48.1384, 39.88 48.1152, 39.8686 48.0794, 39.8322 48.0665, 39.8859 48.0479, 39.8772 48.0414, 39.7797 48.0393, 39.7952 48.0107, 39.8171 48.0015, 39.8167 47.9845, 39.823 47.9835, 39.8154 47.9709, 39.8274 47.9508, 39.8059 47.9506, 39.8066 47.9337, 39.7939 47.9159, 39.7949 47.8668, 39.7625 47.8701, 39.7632 47.8465, 39.7379 47.8277, 39.5656 47.8366, 39.5422 47.825, 39.5345 47.8325, 39.5203 47.8251, 39.4785 47.8595, 39.4125 47.8309, 39.3904 47.8662, 39.2417 47.867, 39.2362 47.854, 39.1497 47.8426, 39.1095 47.8427, 39.1094 47.8518, 39.0829 47.8516, 39.0828 47.8699, 38.8422 47.8631, 38.8351 47.8161), (38.38 48.4086, 38.3673 48.3997, 38.391 48.4159, 38.38 48.4086), (39.3228 48.7759, 39.3146 48.7748, 39.3245 48.776, 39.3228 48.7759)))"
