date,target_name,target_type,oblast,lat,lon,geo_precision,status,source_url
2024-10-03,Borisoglebsk air base,airfield,,51.36667,42.17833,facility,confirmed,https://euromaidanpress.com/2024/10/03/ukraine-targets-russias-guided-bomb-warehouses-and-aircraft-in-voronezh-oblast-airfield-attack/
2024-10-10,Khanskaya air base,airfield,,,,,confirmed,https://kyivindependent.com/drones-hit-military-airfield-in-russias-republic-of-adygea-russian-media-claims/
2024-11-09,Russia ammo depot,ammo_depot,,,,,confirmed,https://www.newsweek.com/russia-ukraine-tula-drones-enemy-1983238
2024-11-14,Krymsk air base,airfield,Krasnodar Krai,45.07,39.05,facility,confirmed,https://english.nv.ua/nation/massive-drone-strike-targets-russian-air-base-in-krasnodar-krai-50466601.html
2024-11-20,Kotovo#Novgorod Oblast ammo depot,ammo_depot,Kotovo#Novgorod Oblast,,,,confirmed,https://www.themoscowtimes.com/2024/11/20/village-in-northwestern-russia-evacuated-after-ukrainian-drones-attack-missile-depot-a87073
2024-11-25,Russia oil depot,oil_depot,,,,,confirmed,
2024-12-14,Russia oil depot,oil_depot,,,,,confirmed,https://newsukraine.rbc.ua/news/defense-forces-hit-large-oil-depot-in-oryol-1734167516.html
2024-12-19,Russia refinery,refinery,,,,,confirmed,https://en.defence-ua.com/news/details_of_the_attack_on_novoshakhtinsk_oil_refinery_in_rostov_region_revealed_drones_and_neptune_missiles_were_used-12910.html
2025-01-14,Russia refinery,refinery,,,,,claimed,https://english.nv.ua/nation/explosions-cripple-russian-supply-chain-blame-pinned-on-ukraine-50481382.html
2025-01-17,Russia oil depot,oil_depot,,,,,confirmed,https://newsukraine.rbc.ua/news/drone-attack-on-oil-depot-in-russia-s-kaluga-1737148085.html
2025-01-29,Kstovo refinery,refinery,,56.13,44.2,facility,claimed,
2025-01-31,Volgograd refinery,refinery,,48.62,44.47,facility,confirmed,
2025-06-01,Olenya air base,airfield,,68.15167,33.465,facility,confirmed,https://www.telegraph.co.uk/world-news/2025/06/01/russia-ukraine-zelensky-putin-war-latest-news5291/
2025-08-08,Afipsky refinery,refinery,Krasnodar Krai,44.9,38.84,facility,confirmed,https://www.themoscowtimes.com/2025/08/07/ukrainian-drone-attack-sparks-fire-at-krasnodar-oil-refinery-a90122
2025-08-14,Volgograd refinery,refinery,Volgograd Oblast,48.62,44.47,facility,confirmed,https://www.reuters.com/world/europe/russia-reports-fire-volgograd-refinery-after-ukrainian-drone-attack-2025-08-14/
2025-08-21,Bryansk Oblast oil depot,oil_depot,Bryansk Oblast,52.9,33.5,oblast,claimed,https://www.reuters.com/business/energy/ukrainian-attack-suspends-russian-oil-flows-hungary-slovakia-2025-08-22
2025-08-28,Kuibyshev refinery,refinery,Samara Oblast,53.16,50.07,facility,confirmed,https://www.reuters.com/business/energy/russias-kuibyshevsk-refinery-halted-operations-after-drone-attacks-sources-say-2025-08-29/
2025-09-20,refineries,refinery,Samara Oblast,53.2,50.5,oblast,confirmed,https://www.bbc.com/news/articles/ce3253gxqvwo
2025-09-28,power station,energy,,,,,claimed,https://kyivindependent.com/ukrainian-himars-reportedly-strike-thermal-power-plant-in-russias-belgorod-oblast/
2025-10-04,Russia energy,energy,,,,,claimed,https://kyivindependent.com/ukraine-struck-russias-missile-ship-grad-in-karelia-military-says/
2025-12-22,Russia oil depot,oil_depot,,,,,confirmed,https://it.euronews.com/2025/12/22/lucraina-colpisce-terminale-petrolifero-jet-e-navi-russe-in-unondata-di-attacchi
